CanonicalSMILES,InChIKey,UniProtKB
C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O,TUVCWJQQGGETHL-UHFFFAOYSA-N,Q16790
CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCCNCCCCN)O,QYOAUOAXCQAEMW-DDZPZTJXSA-N,Q16790
C(C(C1C(=C(C(=O)O1)O)O)O)O,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,Q16790
COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2,QFWCYNPOPKQOKV-UHFFFAOYSA-N,Q16790
C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4,CZQHHVNHHHRRDU-UHFFFAOYSA-N,Q16790
O=O,MYMOFIZGZYHOMD-UHFFFAOYSA-N,Q16790
[Cl-].[Cl-].[Co+2],GVPFVAHMJGGAJG-UHFFFAOYSA-L,Q16790
CS(=O)(=O)N1CCN(CC1)CC2=CC3=C(S2)C(=NC(=N3)C4=C5C=NNC5=CC=C4)N6CCOCC6,LHNIIDJUOCFXAP-UHFFFAOYSA-N,Q16790
B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,GXJABQQUPOEUTA-RDJZCZTQSA-N,Q16790
[O-]Br(=O)=O,SXDBWCPKPHAZSM-UHFFFAOYSA-M,Q16790
[O-]I(=O)=O,ICIWUVCWSCSTAQ-UHFFFAOYSA-M,Q16790
[O-]I(=O)(=O)=O.[K+],FJVZDOGVDJCCCR-UHFFFAOYSA-M,Q16790
O.O.O.O.O.O.O.O.O.[O-][Si](=O)[O-].[Na+].[Na+],PHIQPXBZDGYJOG-UHFFFAOYSA-N,Q16790
C(=O)([O-])[O-],BVKZGUZCCUSVTD-UHFFFAOYSA-L,Q16790
OCl(=O)=O,XTEGARKTQYYJKE-UHFFFAOYSA-N,Q16790
[N+](=O)(O)[O-],GRYLNZFGIOXLOG-UHFFFAOYSA-N,Q16790
[O-][W](=O)(=O)[O-],PBYZMCDFOULPGH-UHFFFAOYSA-N,Q16790
[O-]Cl(=O)(=O)=O,VLTRZXGMWDSKGL-UHFFFAOYSA-M,Q16790
[O-][Mo](=O)(=O)[O-],MEFBJEMVZONFCJ-UHFFFAOYSA-N,Q16790
[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,Q16790
CC1=CC(=O)OC2=C1C=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O,YUDPTGPSBJVHCN-DZQJYWQESA-N,Q16790
CC(=O)NC1=NN=C(S1)S(=O)(=O)N,BZKPWHYZMXOIDC-UHFFFAOYSA-N,Q16790
CC12CCC3C(C1CCC2OS(=O)(=O)N)CCC4=CC(=C(C=C34)OC)OS(=O)(=O)N,AQSNIXKAKUZPSI-SSTWWWIQSA-N,P00918
CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3,YASAKCUCGLMORW-UHFFFAOYSA-N,P00918
CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,RZEKVGVHFLEQIL-UHFFFAOYSA-N,P00918
CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,CGIGDMFJXJATDK-UHFFFAOYSA-N,P00918
[Co],GUTLYIVDDKVIGB-UHFFFAOYSA-N,P00918
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,SHGAZHPCJJPHSC-YCNIQYBTSA-N,P00918
CC(=O)NC1=CC=C(C=C1)O,RZVAJINKPMORJF-UHFFFAOYSA-N,P00918
[Hg],QSHDDOUJBYECFT-UHFFFAOYSA-N,P00918
CCCCCC(C=CC=O)O,JVJFIQYAHPMBBX-FNORWQNLSA-N,P00918
CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,IISBACLAFKSPIT-UHFFFAOYSA-N,P00918
CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,MKXKFYHWDHIYRV-UHFFFAOYSA-N,P00918
[Pb],WABPQHHGFIMREM-UHFFFAOYSA-N,P00918
[Li],WHXSMMKQMYFTQS-UHFFFAOYSA-N,P00918
[Cu],RYGMFSIKBFXOCR-UHFFFAOYSA-N,P00918
[F-].[Na+],PUZPDOWCWNUUKD-UHFFFAOYSA-M,P00918
CC(C)C1=C(C(=CC=C1)C(C)C)O,OLBCVFGFOZPWHH-UHFFFAOYSA-N,P00918
CCC(CC)(C=CC=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C)O,LVLLALCJVJNGQQ-SEODYNFXSA-N,P00918
COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C4C5C=COC5OC4=C1,OQIQSTLJSLGHID-WNWIJWBNSA-N,P00918
CC(C)(C)C1=C(C=CC(=C1)O)OC.CC(C)(C)C1=C(C=CC(=C1)OC)O,CZBZUDVBLSSABA-UHFFFAOYSA-N,P00918
C1=CC=C(C(=C1)C2=C3C=C(C(=O)C=C3OC4=C(C(=C(C=C24)Br)[O-])[Hg])Br)C(=O)[O-].O.[Na+].[Na+],KQSRXDXJGUJRKE-UHFFFAOYSA-L,P00918
C1=CC(=CC=C1C(=O)O)S(=O)(=O)N(Cl)Cl,XPDVQPODLRGWPL-UHFFFAOYSA-N,P00918
C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,ZZUFCTLCJUWOSV-UHFFFAOYSA-N,P00918
CC1(OC2COC3(C(C2O1)OC(O3)(C)C)COS(=O)(=O)N)C,KJADKKWYZYXHBB-XBWDGYHZSA-N,P00918
CC(=O)N=C1N(N=C(S1)S(=O)(=O)N)C,FLOSMHQXBMRNHR-UHFFFAOYSA-N,P00918
CC(C)(C)C1=C(C(=CC=C1)C(C)(C)C)O,DKCPKDPYUFEZCP-UHFFFAOYSA-N,P00918
C1CCC2=C(CC1)C(=O)OC3=C2C=CC(=C3)OS(=O)(=O)N,DSLPMJSGSBLWRE-UHFFFAOYSA-N,P00918
C1=CC2=C(C=C1O)OC(=O)S2,SLYPOVJCSQHITR-UHFFFAOYSA-N,P00918
C1=CC=C(C=C1)S(=O)(=O)NC2=NN=C(S2)S(=O)(=O)N,PWDGTQXZLNDOKS-UHFFFAOYSA-N,P00918
CCOC1=CC2=C(C=C1)N=C(S2)S(=O)(=O)N,OUZWUKMCLIBBOG-UHFFFAOYSA-N,P00918
C1=CC2=C(C(=C1)NS(=O)(=O)C3=CC=C(C=C3)S(=O)(=O)N)NC=C2Cl,SETFNECMODOHTO-UHFFFAOYSA-N,P00918
C1=C(C=C(C(=C1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N,GJQPMPFPNINLKP-UHFFFAOYSA-N,P00918
CCNC1CN(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)CCCOC,HCRKCZRJWPKOAR-JTQLQIEISA-N,P00918
CCNC1CC(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C.Cl,OSRUSFPMRGDLAG-QMGYSKNISA-N,P00918
C1=CC(=CC=C1N=NC2=C(C=C(C=C2)N)N)S(=O)(=O)N,ABBQGOCHXSPKHJ-UHFFFAOYSA-N,P00918
CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N,LNPDTQAFDNKSHK-UHFFFAOYSA-N,P00918
C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N,UBQNRHZMVUUOMG-UHFFFAOYSA-N,P00918
[O-]Br(=O)=O,SXDBWCPKPHAZSM-UHFFFAOYSA-M,P00918
[O-]I(=O)=O,ICIWUVCWSCSTAQ-UHFFFAOYSA-M,P00918
[O-]I(=O)(=O)=O.[K+],FJVZDOGVDJCCCR-UHFFFAOYSA-M,P00918
O.O.O.O.O.O.O.O.O.[O-][Si](=O)[O-].[Na+].[Na+],PHIQPXBZDGYJOG-UHFFFAOYSA-N,P00918
C(=O)([O-])[O-],BVKZGUZCCUSVTD-UHFFFAOYSA-L,P00918
OCl(=O)=O,XTEGARKTQYYJKE-UHFFFAOYSA-N,P00918
[N+](=O)(O)[O-],GRYLNZFGIOXLOG-UHFFFAOYSA-N,P00918
[O-][W](=O)(=O)[O-],PBYZMCDFOULPGH-UHFFFAOYSA-N,P00918
[O-]Cl(=O)(=O)=O,VLTRZXGMWDSKGL-UHFFFAOYSA-M,P00918
[O-][Mo](=O)(=O)[O-],MEFBJEMVZONFCJ-UHFFFAOYSA-N,P00918
[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,P00918
C(=O)(O)[O-],BVKZGUZCCUSVTD-UHFFFAOYSA-M,P00918
CC(=O)NC1=NN=C(S1)S(=O)(=O)N,BZKPWHYZMXOIDC-UHFFFAOYSA-N,P00918
CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,BGRJTUBHPOOWDU-UHFFFAOYSA-N,P00918
CC(=O)OC1=CC=C(C=C1)[N+](=O)[O-],QAUUDNIGJSLPSX-UHFFFAOYSA-N,P00918
CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3,YASAKCUCGLMORW-UHFFFAOYSA-N,P00915
CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,CGIGDMFJXJATDK-UHFFFAOYSA-N,P00915
[Co],GUTLYIVDDKVIGB-UHFFFAOYSA-N,P00915
CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,P00915
[Hg],QSHDDOUJBYECFT-UHFFFAOYSA-N,P00915
CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,HTQMVQVXFRQIKW-UHFFFAOYSA-N,P00915
CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,YOSHYTLCDANDAN-UHFFFAOYSA-N,P00915
[Pb],WABPQHHGFIMREM-UHFFFAOYSA-N,P00915
CC(C)C1=C(C(=CC=C1)C(C)C)O,OLBCVFGFOZPWHH-UHFFFAOYSA-N,P00915
CC(C)(C)C1=C(C=CC(=C1)O)OC.CC(C)(C)C1=C(C=CC(=C1)OC)O,CZBZUDVBLSSABA-UHFFFAOYSA-N,P00915
CC1(OC2COC3(C(C2O1)OC(O3)(C)C)COS(=O)(=O)N)C,KJADKKWYZYXHBB-XBWDGYHZSA-N,P00915
CC(=O)N=C1N(N=C(S1)S(=O)(=O)N)C,FLOSMHQXBMRNHR-UHFFFAOYSA-N,P00915
CC(C)(C)C1=C(C(=CC=C1)C(C)(C)C)O,DKCPKDPYUFEZCP-UHFFFAOYSA-N,P00915
C1=CC=C(C=C1)S(=O)(=O)NC2=NN=C(S2)S(=O)(=O)N,PWDGTQXZLNDOKS-UHFFFAOYSA-N,P00915
CCOC1=CC2=C(C=C1)N=C(S2)S(=O)(=O)N,OUZWUKMCLIBBOG-UHFFFAOYSA-N,P00915
C1=CC2=C(C(=C1)NS(=O)(=O)C3=CC=C(C=C3)S(=O)(=O)N)NC=C2Cl,SETFNECMODOHTO-UHFFFAOYSA-N,P00915
C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N,UBQNRHZMVUUOMG-UHFFFAOYSA-N,P00915
[O-]Br(=O)=O,SXDBWCPKPHAZSM-UHFFFAOYSA-M,P00915
[O-]I(=O)=O,ICIWUVCWSCSTAQ-UHFFFAOYSA-M,P00915
[O-]I(=O)(=O)=O.[K+],FJVZDOGVDJCCCR-UHFFFAOYSA-M,P00915
O.O.O.O.O.O.O.O.O.[O-][Si](=O)[O-].[Na+].[Na+],PHIQPXBZDGYJOG-UHFFFAOYSA-N,P00915
C(=O)([O-])[O-],BVKZGUZCCUSVTD-UHFFFAOYSA-L,P00915
OCl(=O)=O,XTEGARKTQYYJKE-UHFFFAOYSA-N,P00915
[N+](=O)(O)[O-],GRYLNZFGIOXLOG-UHFFFAOYSA-N,P00915
[O-][W](=O)(=O)[O-],PBYZMCDFOULPGH-UHFFFAOYSA-N,P00915
[O-]Cl(=O)(=O)=O,VLTRZXGMWDSKGL-UHFFFAOYSA-M,P00915
[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,P00915
C(=O)(O)[O-],BVKZGUZCCUSVTD-UHFFFAOYSA-M,P00915
CC(=O)NC1=NN=C(S1)S(=O)(=O)N,BZKPWHYZMXOIDC-UHFFFAOYSA-N,P00915
CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,RZEKVGVHFLEQIL-UHFFFAOYSA-N,P07451
CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Br)Br)C,OWZREIFADZCYQD-NSHGMRRFSA-N,P07451
C1COCCN1N=O,ZKXDGKXYMTYWTB-UHFFFAOYSA-N,P07451
CC1(OC2COC3(C(C2O1)OC(O3)(C)C)COS(=O)(=O)N)C,KJADKKWYZYXHBB-XBWDGYHZSA-N,P07451
C1=CC=C2C(=C1)C(=O)NS2(=O)=O,CVHZOJJKTDOEJC-UHFFFAOYSA-N,P07451
CC(=O)N=C1N(N=C(S1)S(=O)(=O)N)C,FLOSMHQXBMRNHR-UHFFFAOYSA-N,P07451
C1=CC=C(C=C1)S(=O)(=O)NC2=NN=C(S2)S(=O)(=O)N,PWDGTQXZLNDOKS-UHFFFAOYSA-N,P07451
CCOC1=CC2=C(C=C1)N=C(S2)S(=O)(=O)N,OUZWUKMCLIBBOG-UHFFFAOYSA-N,P07451
C1=CC2=C(C(=C1)NS(=O)(=O)C3=CC=C(C=C3)S(=O)(=O)N)NC=C2Cl,SETFNECMODOHTO-UHFFFAOYSA-N,P07451
C1=C(C=C(C(=C1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N,GJQPMPFPNINLKP-UHFFFAOYSA-N,P07451
CCNC1CN(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)CCCOC,HCRKCZRJWPKOAR-JTQLQIEISA-N,P07451
CCNC1CC(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C.Cl,OSRUSFPMRGDLAG-QMGYSKNISA-N,P07451
C1=CC(=CC=C1N=NC2=C(C=C(C=C2)N)N)S(=O)(=O)N,ABBQGOCHXSPKHJ-UHFFFAOYSA-N,P07451
CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N,LNPDTQAFDNKSHK-UHFFFAOYSA-N,P07451
C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N,UBQNRHZMVUUOMG-UHFFFAOYSA-N,P07451
C(=O)(O)[O-],BVKZGUZCCUSVTD-UHFFFAOYSA-M,P07451
CC(=O)NC1=NN=C(S1)S(=O)(=O)N,BZKPWHYZMXOIDC-UHFFFAOYSA-N,P07451
C1=CC=C(C=C1)Br,QARVLSVVCXYDNA-UHFFFAOYSA-N,P07451
CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,BGRJTUBHPOOWDU-UHFFFAOYSA-N,P07451
O=O,MYMOFIZGZYHOMD-UHFFFAOYSA-N,O43570
CC1(OC2COC3(C(C2O1)OC(O3)(C)C)COS(=O)(=O)N)C,KJADKKWYZYXHBB-XBWDGYHZSA-N,O43570
CC1=CC(=O)OC2=C1C=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O,YUDPTGPSBJVHCN-DZQJYWQESA-N,O43570
CC1=CC(=O)OC2=C1C=CC(=C2)OC3C(C(C(CO3)O)O)O,JWIYLOHVJDJZOQ-QZKOUSHUSA-N,O43570
CC(=O)NC1=NN=C(S1)S(=O)(=O)N,BZKPWHYZMXOIDC-UHFFFAOYSA-N,O43570
CNCC(C1=CC(=CC=C1)O)O,SONNWYBIRXJNDC-VIFPVBQESA-N,P22748
[O-]Br(=O)=O,SXDBWCPKPHAZSM-UHFFFAOYSA-M,P22748
[O-]I(=O)=O,ICIWUVCWSCSTAQ-UHFFFAOYSA-M,P22748
[O-]I(=O)(=O)=O.[K+],FJVZDOGVDJCCCR-UHFFFAOYSA-M,P22748
O.O.O.O.O.O.O.O.O.[O-][Si](=O)[O-].[Na+].[Na+],PHIQPXBZDGYJOG-UHFFFAOYSA-N,P22748
C(=O)([O-])[O-],BVKZGUZCCUSVTD-UHFFFAOYSA-L,P22748
OCl(=O)=O,XTEGARKTQYYJKE-UHFFFAOYSA-N,P22748
[N+](=O)(O)[O-],GRYLNZFGIOXLOG-UHFFFAOYSA-N,P22748
[O-][W](=O)(=O)[O-],PBYZMCDFOULPGH-UHFFFAOYSA-N,P22748
[O-][Mo](=O)(=O)[O-],MEFBJEMVZONFCJ-UHFFFAOYSA-N,P22748
[O-]S(=O)(=O)[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,P22748
COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C4C5C=COC5OC4=C1,OQIQSTLJSLGHID-WNWIJWBNSA-N,P35218
[O-]Br(=O)=O,SXDBWCPKPHAZSM-UHFFFAOYSA-M,P35218
[O-]I(=O)=O,ICIWUVCWSCSTAQ-UHFFFAOYSA-M,P35218
[O-]I(=O)(=O)=O.[K+],FJVZDOGVDJCCCR-UHFFFAOYSA-M,P35218
O.O.O.O.O.O.O.O.O.[O-][Si](=O)[O-].[Na+].[Na+],PHIQPXBZDGYJOG-UHFFFAOYSA-N,P35218
C(=O)([O-])[O-],BVKZGUZCCUSVTD-UHFFFAOYSA-L,P35218
OCl(=O)=O,XTEGARKTQYYJKE-UHFFFAOYSA-N,P35218
[N+](=O)(O)[O-],GRYLNZFGIOXLOG-UHFFFAOYSA-N,P35218
[O-][W](=O)(=O)[O-],PBYZMCDFOULPGH-UHFFFAOYSA-N,P35218
[O-]Cl(=O)(=O)=O,VLTRZXGMWDSKGL-UHFFFAOYSA-M,P35218
[O-][Mo](=O)(=O)[O-],MEFBJEMVZONFCJ-UHFFFAOYSA-N,P35218
[As],RQNWIZPPADIBDY-UHFFFAOYSA-N,Q8N1Q1
[As],RQNWIZPPADIBDY-UHFFFAOYSA-N,Q9Y2D0
[As],RQNWIZPPADIBDY-UHFFFAOYSA-N,P43166
CCCC1=CC(=O)NC(=S)N1,KNAHARQHSZJURB-UHFFFAOYSA-N,P23280
